,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Quercoideae,1,NA,113.00839,NA,70.35306,NA,NA,39.22419,95.87541,Fagales,Fagaceae,Quercoideae
Quiinoideae,1,NA,119.07588,NA,50.27227,NA,NA,28.61567,80.5104,Malpighiales,Ochnaceae,Quiinoideae
Ranunculoideae,2,57.57208,98.55337,34.75279,62.30044,14.98031,51.04086,45.65633,83.61216,Ranunculales,Ranunculaceae,Ranunculoideae
Rauvolfioideae,2,98.79671,105.45136,40.845,48.44007,20.26533,62.91035,28.23013,70.65807,Gentianales,Apocynaceae,Rauvolfioideae
Rehmannieae,2,112.54503,163.61352,38.14767,67.31318,18.16373,63.17017,57.99484,76.7585,Lamiales,Orobanchaceae,Rehmannieae
Rhinantheae,2,128.70447,128.93545,38.20052,42.48141,27.51755,49.71152,32.46402,53.03486,Lamiales,Orobanchaceae,Rhinantheae
Rosoideae,2,107.7949,144.65488,59.64581,89.35702,28.62153,88.34087,53.89695,122.60646,Rosales,Rosaceae,Rosoideae
Rubioideae,2,115.25843,153.71473,57.37231,80.03689,40.99783,77.51725,60.55041,97.53601,Gentianales,Rubiaceae,Rubioideae
Ruschioideae,2,81.75308,86.32756,36.23589,43.75308,16.3628,56.54049,23.54646,62.71812,Caryophyllales,Aizoaceae,Ruschioideae
Rutoideae,2,61.73213,70.38281,33.25641,43.05029,18.63403,48.44244,25.74995,57.66507,Sapindales,Rutaceae,Rutoideae
Saccifolieae,1,NA,135.36274,NA,74.59198,NA,NA,51.61458,95.00135,Gentianales,Gentianaceae,Saccifolieae
SagineaeSclerantheae,2,73.20364,78.18393,46.13397,56.49431,26.88601,62.95048,39.76008,73.7596,Caryophyllales,Caryophyllaceae,SagineaeSclerantheae
Salicoideae,3,84.54273,102.92806,39.03089,51.9016,21.08761,61.14805,26.82356,73.56218,Malpighiales,Salicaceae,Salicoideae
Salicornioideae,2,47.27924,62.99588,26.22716,46.41436,9.82582,43.13664,27.66813,65.41119,Caryophyllales,Amaranthaceae,Salicornioideae
Salsoloideae,2,58.82764,62.92027,36.06462,41.99096,16.43812,55.45935,24.79293,62.497,Caryophyllales,Amaranthaceae,Salsoloideae
Samydoideae,1,NA,139.95149,NA,71.95557,NA,NA,50.22128,96.88493,Malpighiales,Salicaceae,Samydoideae
Sanangoideae,1,NA,141.33178,NA,52.70353,NA,NA,29.55074,77.3405,Lamiales,Gesneriaceae,Sanangoideae
Saniculoideae,2,84.8294,94.87595,31.00016,38.64493,15.63802,44.19715,23.05672,53.03149,Apiales,Apiaceae,Saniculoideae
