,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Erythroxylaceae,2,38.63419,69.7165,38.63419,69.7165,15.46468,57.84264,50.74695,90.16853,Malpighiales,Erythroxylaceae,NA
Escalloniaceae,2,68.96819,87.82412,68.96819,87.82412,43.44951,88.93935,71.98594,101.73525,Escalloniales,Escalloniaceae,NA
Eucommiaceae,1,NA,62.96277,NA,62.96277,NA,NA,31.17275,95.614,Garryales,Eucommiaceae,NA
Euphorbiaceae,13,53.52763,64.23952,53.52763,64.23952,41.95648,66.2793,49.67485,78.18991,Malpighiales,Euphorbiaceae,NA
Euphroniaceae,1,NA,52.62665,NA,52.62665,NA,NA,29.39636,69.37689,Malpighiales,Euphroniaceae,NA
Eupomatiaceae,2,17.69464,93.85296,17.69464,93.85296,3.02609,36.99037,71.25666,112.27921,Magnoliales,Eupomatiaceae,NA
Eupteleaceae,2,7.56322,124.43442,7.56322,124.43442,1.131,17.33306,104.67197,144.36536,Ranunculales,Eupteleaceae,NA
Fabaceae,12,71.70071,85.45756,71.70071,85.45756,57.238,86.38109,66.32154,102.40506,Fabales,Fabaceae,NA
Fagaceae,2,58.50491,90.3138,58.50491,90.3138,38.13071,81.15898,78.73634,101.65701,Fagales,Fagaceae,NA
Flagellariaceae,2,31.41276,93.32587,31.41276,93.32587,9.11386,62.56406,87.29314,98.50934,Poales,Flagellariaceae,NA
Fouquieriaceae,2,9.16922,87.14386,9.16922,87.14386,2.08167,20.2248,63.17582,105.5732,Ericales,Fouquieriaceae,NA
Francoaceae,2,65.45825,104.24724,65.45825,104.24724,26.21744,99.97307,77.90137,122.87366,Geraniales,Francoaceae,NA
Frankeniaceae,2,13.51081,60.76876,13.51081,60.76876,2.24308,26.21162,38.07504,87.04797,Caryophyllales,Frankeniaceae,NA
Garryaceae,2,19.27028,62.96277,19.27028,62.96277,5.05764,37.30776,31.17275,95.614,Garryales,Garryaceae,NA
