,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Cordiaceae,2,58.79209,70.42681,32.92258,43.91475,23.0301,46.47036,27.32545,57.89041,Boraginales,Cordiaceae,NA
Coriariaceae,2,21.19669,114.24443,14.21901,58.77856,2.54649,29.17162,30.76223,84.88782,Cucurbitales,Coriariaceae,NA
Cornaceae,2,104.15963,131.08038,75.5659,99.06498,56.00455,99.92376,81.40967,121.68897,Cornales,Cornaceae,NA
Corsiaceae,2,126.6239,134.40236,66.19071,87.7747,44.37559,92.10335,64.36888,115.60655,Liliales,Corsiaceae,NA
Corynocarpaceae,2,17.79119,114.24443,22.479,58.77856,15.97023,36.00231,30.76223,84.88782,Cucurbitales,Corynocarpaceae,NA
Costaceae,2,31.80067,81.45183,30.64603,72.97475,12.52082,52.67903,66.00328,84.26994,Zingiberales,Costaceae,NA
Coulaceae,2,29.49346,146.00534,22.6968,117.18288,5.2852,51.16116,107.75262,127.04058,Santalales,Coulaceae,NA
Crassulaceae,3,66.1826,126.29914,60.6369,103.03546,37.65638,88.89016,90.91381,115.4545,Saxifragales,Crassulaceae,NA
Crossosomataceae,2,44.10097,85.12193,27.6534,53.45222,10.07716,47.93751,30.04828,75.67868,Crossosomatales,Crossosomataceae,NA
Crypteroniaceae,2,29.24033,51.24706,27.47407,56.82225,4.3064,48.67056,36.04339,78.64147,Myrtales,Crypteroniaceae,NA
Ctenolophonaceae,2,9.30617,132.14774,9.69124,91.62472,1.40966,21.94076,74.3267,105.97875,Malpighiales,Ctenolophonaceae,NA
Cucurbitaceae,5,60.92017,133.79532,44.2537,84.45507,24.66065,62.65981,62.79012,101.63503,Cucurbitales,Cucurbitaceae,NA
Cunoniaceae,2,74.89111,94.63016,74.18589,86.1344,63.4919,85.26646,80.70082,94.5267,Oxalidales,Cunoniaceae,NA
Cupressaceae,1,NA,201.844,NA,83.19903,NA,NA,51.91453,126.85649,Pinales,Cupressaceae,NA
Curtisiaceae,1,NA,94.32897,NA,64.30629,NA,NA,31.2016,93.33592,Cornales,Curtisiaceae,NA
Cycadaceae,1,NA,299.78607,NA,159.90948,NA,NA,99.99888,213.20356,Cycadales,Cycadaceae,NA
Cyclanthaceae,2,101.47049,114.23928,60.7617,74.59207,47.00066,80.87135,55.09818,94.57162,Pandanales,Cyclanthaceae,NA
Cymodoceaceae,2,56.4917,62.96594,48.10995,62.38351,30.29954,64.04942,47.72422,75.76658,Alismatales,Cymodoceaceae,NA
Cynomoriaceae,2,11.32895,134.70992,25.46448,101.0022,5.12253,48.00298,83.70133,120.04753,Saxifragales,Cynomoriaceae,NA
Cyperaceae,4,62.0471,85.98717,61.59291,81.29793,47.08957,77.88713,68.53708,95.92321,Poales,Cyperaceae,NA
Cyrillaceae,2,31.35352,120.62281,23.60889,96.92382,2.31241,54.10219,90.27957,103.55207,Ericales,Cyrillaceae,NA
Cytinaceae,2,104.87594,113.55596,53.10862,67.5666,31.69381,75.45694,46.87814,87.57358,Malvales,Cytinaceae,NA
Daphniphyllaceae,2,94.76238,118.39504,22.17415,86.81997,0.00156,68.03266,56.59805,108.77614,Saxifragales,Daphniphyllaceae,NA
